Task,N,16,std_16,32,std_32,64,std_64,128,std_128,256,std_256,512,std_512,nodr,std_nodr,95% CI lower peak
gen2,2000,0.7893,0.0026,0.8447,0.0063,0.8662,0.0046,0.883,0.004,0.8847,0.0054,0.8903,0.0055,0.8903,0.0068,0.8869
bsag,2000,0.3797,0.0064,0.3891,0.0041,0.3995,0.0086,0.4035,0.0046,0.4016,0.0183,0.3922,0.0136,0.394,0.0151,0.4006
sui,2000,0.4195,0.0341,0.4911,0.0223,0.4909,0.0169,0.4443,0.0153,0.401,0.0187,,,0.4795,0.0131,0.4804
,,,,,,,,,,,,,,,,
age,5000,0.6609,0.0009,0.7145,0.0011,0.751,0.0018,0.7703,0.0017,0.7797,0.0027,0.7828,0.0025,0.7882,0.0025,0.7867
ext,5000,0.2456,0.007,0.297,0.0043,0.3326,0.0036,0.3454,0.0041,0.3464,0.0042,0.3452,0.0034,0.3362,0.0044,0.3438
ope,5000,0.2547,0.0033,0.2964,0.0056,0.3559,0.0046,0.3594,0.0044,0.366,0.0041,0.3681,0.004,0.3659,0.0047,0.3656
gen,5000,0.7288,0.003,0.8098,0.0026,0.8394,0.0022,0.8577,0.0024,0.8629,0.0024,0.8624,0.0012,0.8704,0.0024,0.8689
gen2,5000,0.7917,0.0027,0.8413,0.0034,0.8712,0.0031,0.8921,0.005,0.8906,0.0054,0.8965,0.0073,0.8969,0.0044,0.8942
bsag,5000,0.3879,0.0042,0.3986,0.0039,0.4105,0.0052,0.4198,0.0055,0.4079,0.0195,0.3754,0.0137,0.4045,0.0081,0.4164
sui,5000,0.4133,0.029,0.5026,0.022,0.5054,0.0141,0.4412,0.0087,0.3998,0.0131,,,0.484,0.0112,0.4967
,,,,,,,,,,,,,,,,
age,10000,0.6616,0.0005,0.7155,0.0008,0.7527,0.0012,0.7736,0.001,0.7857,0.0015,0.7897,0.0018,0.7952,0.0013,0.7944
ext,10000,0.2486,0.0052,0.3014,0.0046,0.3377,0.0036,0.3539,0.0036,0.3567,0.0055,0.3542,0.0046,0.3451,0.0053,0.3533
ope,10000,0.256,0.0036,0.3002,0.0034,0.3616,0.0024,0.366,0.0033,0.3737,0.004,0.3756,0.0057,0.3754,0.0054,0.3721
gen,10000,0.7285,0.0028,0.8102,0.0023,0.8415,0.0026,0.8621,0.0027,0.8666,0.0017,0.8667,0.0027,0.8766,0.0024,0.8751
gen2,10000,0.7921,0.0028,0.8437,0.0034,0.8722,0.003,0.8927,0.0051,0.8926,0.0025,0.9059,0.009,0.9025,0.0046,0.9003
bsag,10000,0.39,0.0035,0.4014,0.0044,0.4149,0.005,0.4246,0.0043,0.4102,0.0125,0.3817,0.0122,0.4017,0.0238,0.4219
sui,10000,0.4135,0.0259,0.5082,0.0147,0.5052,0.014,0.4446,0.0112,0.3911,0.0063,,,0.4862,0.0065,0.4991
